月,日,温度,降水量,日照時間,場所
1,1,-4,0.3,8.1,北京
1,2,-3,2,8.1,北京
1,3,-4,1.9,7.6,北京
1,4,-4,0.9,7.6,北京
1,5,-4,2.4,7.8,北京
1,6,-4,2.4,7.4,北京
1,7,-4,1.1,7.6,北京
1,8,-4,1.2,8.3,北京
1,9,-4,0.2,8.5,北京
1,10,-4,0.5,8.4,北京
1,11,-4,1.2,7.6,北京
1,12,-4,0.8,8,北京
1,13,-4,2.3,8.3,北京
1,14,-4,3.1,8.2,北京
1,15,-4,2.6,8,北京
1,16,-4,0.7,7.8,北京
1,17,-4,1.7,6.9,北京
1,18,-4,1,7.9,北京
1,19,-4,0.8,8.2,北京
1,20,-4,1.1,8.2,北京
1,21,-4,0.5,7.9,北京
1,22,-4,1.6,8.1,北京
1,23,-5,2.7,8.6,北京
1,24,-4,2.3,8.6,北京
1,25,-4,4.6,8.1,北京
1,26,-3,1.8,8.8,北京
1,27,-3,1.1,8.8,北京
1,28,-3,2.6,8.4,北京
1,29,-3,1.8,8.8,北京
1,30,-3,1.5,8.3,北京
1,31,-3,1.3,8.5,北京
1,1,14,1.3,7.5,カイロ
1,2,13,1.3,7.2,カイロ
1,3,13,1,7.6,カイロ
1,4,13,1.2,8.3,カイロ
1,5,13,1.3,8,カイロ
1,6,13,2.1,7.6,カイロ
1,7,13,2.8,7.6,カイロ
1,8,13,2.5,6.8,カイロ
1,9,13,1.3,8,カイロ
1,10,13,2,7.6,カイロ
1,11,13,1.6,7.8,カイロ
1,12,13,1.1,8.1,カイロ
1,13,13,0.8,7.7,カイロ
1,14,13,0.6,7.9,カイロ
1,15,13,1.5,7.8,カイロ
1,16,13,1.9,7.8,カイロ
1,17,13,1.5,7.4,カイロ
1,18,13,2.5,8,カイロ
1,19,13,2.3,7.3,カイロ
1,20,13,2.1,8.2,カイロ
1,21,14,2.4,8.6,カイロ
1,22,14,1.5,8.3,カイロ
1,23,14,2,8,カイロ
1,24,13,1.6,8.2,カイロ
1,25,14,1.1,8.7,カイロ
1,26,14,1.3,8,カイロ
1,27,13,2.1,7.7,カイロ
1,28,13,1.6,8.1,カイロ
1,29,14,1.6,7.8,カイロ
1,30,14,1.6,8.2,カイロ
1,31,14,1.8,8.5,カイロ
